Id,Title,Author,Genre,PublicationDate,Status
385,News need task mind.,Alexandria Graves,Fantasy,2014-06-12,Reserved
386,Site both change note old.,Ariel Garcia,Historical,1981-05-02,Checked Out
387,Test they there.,Matthew Armstrong,Biography,2006-08-26,Reserved
388,Common idea.,Melanie Morales,Non-Fiction,2001-05-24,Lost
389,Real any little environmental.,George Leon,Fantasy,1995-08-15,Checked Out
390,Successful teach range.,Crystal Turner,Biography,2004-08-12,Checked Out
391,Especially indicate population could.,Rodney Figueroa,Fiction,2009-08-10,Lost
392,Start middle city find.,Brandy York,Fantasy,2013-02-27,Lost
393,Community themselves.,Anthony Johnson,Science Fiction,1977-11-25,Lost
394,Relate ever statement measure.,Becky Johnson,Fantasy,1999-10-22,Checked Out
395,Order concern that only.,Christopher Kline,Thriller,2021-05-03,Lost
396,Expect hit.,Kenneth Hanna,Science Fiction,1989-07-10,Available
397,Question especially important.,Richard Saunders,Science Fiction,1975-01-25,Reserved
398,Treatment positive over across.,Robert Torres,Mystery,2022-09-25,Lost
399,Interest heavy give.,John Byrd,Mystery,2016-11-23,Available
400,Once account yourself whom.,Kristina Wheeler,Biography,1993-09-11,Lost
